original_review_id,source,country,reviewId,userName,rating,review,title,date,version,discovery_score,categories,matched_terms,rating_bonus,priority_score,is_discovery_review,selected_for_gpt
3924,Google Play,IN,2f550d5f-a731-4fec-8464-33af0a591910,Konstantine Karczmarski,3,"Since my original review of 2021, some things have deteriorated compared to other streaming services. Recommendation system feels more like the Last.Fm of early days Internet now. And the sound quality ... Why do you compress everything so much? Where is the dynamic range? People have better equimpent now, the connection speeds are better. Oh, and the dark theme. Have you heard of people with astigmatism (like half of the population)? You have enough money to improve",,2026-06-27 16:33:26,9.1.60.1970,5,recommendation,recommendation,2,7,True,False
5384,Apple App Store,US,14248640058,Like the Spotify,3,It has my favorite music. It switches to a different music and it doesn’t go on the order.,I switched my music to music. I did not like.,2026-07-01T01:50:27-07:00,9.1.60,5,discovery,different music,2,7,True,False
5700,Apple App Store,AU,14252603045,SophiaPettigrove,3,What’s with the out of plays? What do you mean ive used up my songs and now have to listen to your recommendations. Never heard of a music app that doesn’t let you choose your own songs without having to pay. Whats the point.,Out of Plays??,2026-07-01T23:54:01-07:00,9.1.60,5,recommendation,recommendations,2,7,True,False
5737,Apple App Store,AU,14245928373,jska92,3,Could be better I feel they recycle a lot of songs where YouTube music recommends a lot more variety,Recommendations,2026-06-30T09:57:52-07:00,9.1.60,5,discovery,variety,2,7,True,False
76,Google Play,IN,8eb23dd4-a15a-4db9-a98a-32027aee5c2d,Peter Law,5,nice just wish i could lissen to my music without shuffle with no premium,,2026-07-02 13:36:27,9.1.60.1970,6,"playlist,personalization","my music,shuffle",0,6,True,False
576,Google Play,IN,03fe0277-93c2-41ea-a89e-7422538a9d22,Joy Thigpen,5,love making my.own Playlist and the song radio feature to find similar music.,,2026-07-01 21:39:39,9.1.56.574,6,playlist,"playlist,radio",0,6,True,False
1123,Google Play,IN,5e27f054-4981-43db-983d-26a30608be04,E C,5,Great selection and new music,,2026-07-01 03:53:11,9.1.60.1970,6,discovery,new music,0,6,True,False
2045,Google Play,IN,e66eb819-db0e-46fc-80bb-bd997dc2fd10,Drue Bales,5,this app is completely perfect somebody just said you only get sick skips per hour and that they put stuff on your playlists to recommend things but they don't it's perfectly fine,,2026-06-29 22:37:15,9.1.52.1394,6,"recommendation,playlist","playlists,recommend",0,6,True,False
2437,Google Play,IN,0645a4a1-a559-4d88-9500-75b4f9e8d920,Reena Sharif Patel,5,super tired new songs🎵 thanks,,2026-06-29 12:38:47,9.1.60.1970,6,discovery,new songs,0,6,True,False
3600,Google Play,IN,6d12c4c6-c9ab-4078-b244-1c990991680b,Aaron Deede,5,the only way I listen to music today I have given up my local radio stations and solely listen to this for all my music needs!!!!,,2026-06-28 00:38:35,9.1.60.1970,6,"playlist,personalization","my music,radio",0,6,True,False
